pond_id,region,enrollment_date,pond_type,added_by,pond_area_acres,depth_meters,equipment,feed_type
pond_48b74e47,West Godavari,2024-03-22,Treatment,Chaitanya,28.28,1.5,"2 aerator, 1 water pump",Mash
pond_cab7ba82,West Godavari,2024-03-22,Treatment,Chaitanya,8.5,1.0,1 water pump,Mash
pond_a0b42194,West Godavari,2024-03-21,Treatment,Chaitanya,13.0,1.5,"1 aerator, 1 water pump",Mash
pond_b08d22b5,West Godavari,2024-03-21,Treatment,Chaitanya,0.85,1.0,1 water pump,Mash
pond_7dded911,West Godavari,2024-03-21,Treatment,Chaitanya,1.5,1.0,1 water pump,Mash
pond_bdf8fe72,West Godavari,2024-03-21,Treatment,Chaitanya,6.6,2.0,1 water pump,Mash
pond_fc8ef4d2,West Godavari,2024-03-21,Treatment,Chaitanya,15.0,2.0,"4 aerator, 1 water pump",Mash
pond_3ed934a6,West Godavari,2024-02-27,Treatment,Chaitanya,8.5,2.0,"3 aerator, 1 water pump",Pelleted feed (floating)
pond_b7082dc1,West Godavari,2024-02-26,Treatment,Chaitanya,1.0,1.5,"2 aerator, 1 water pump",Mash
pond_a4a1da02,West Godavari,2024-02-23,Treatment,Chaitanya,7.5,1.5,,Mash
pond_f86d5d94,West Godavari,2024-02-23,Control,Chaitanya,40.7,2.0,1 water pump,Mash
pond_4afa4e4f,West Godavari,2023-12-18,Treatment,Chaitanya,9.07,1.5,1 water pump,Mash
pond_2e0e9d1a,West Godavari,2023-12-18,Treatment,Chaitanya,8.97,2.0,1 water pump,Mash
pond_8fd1554c,West Godavari,2023-11-19,Treatment,Sanjay,4.65,1.8,2 water pump,DORB
pond_727e3097,West Godavari,2023-11-18,Treatment,Sanjay,4.26,2.0,,DORB
pond_f18f1d57,Nellore,2023-09-20,Treatment,Chaitanya,2.09,1.5,"1 aerator, 2 water pump",Pelleted feed (floating)
pond_aef38b14,Nellore,2023-09-20,Treatment,Chaitanya,5.55,1.5,"2 aerator, 2 water pump",Pelleted feed (floating)
pond_4fc9a5af,Nellore,2023-09-20,Treatment,Chaitanya,0.86,1.5,1 water pump,Pelleted feed (floating)
pond_d1de1045,Nellore,2023-09-20,Treatment,Chaitanya,2.03,2.0,"2 aerator, 2 water pump",Pelleted feed (floating)
pond_aae69640,Nellore,2023-09-20,Treatment,Chaitanya,4.27,2.0,"2 aerator, 4 water pumps",Pelleted feed (floating)
pond_dc98e449,West Godavari,2023-09-05,Control,Sai,11.8,3.0,"1 water pump, Motor Boat","Pelleted feed (sinking), DORB"
pond_f1f0953d,West Godavari,2023-08-30,Control,Sai,44.07,2.0,,"Pelleted feed (sinking), DORB"
pond_ca25b296,West Godavari,2023-08-25,Treatment,Sai,7.81,2.0,3 aerator,DORB
pond_89aabef8,West Godavari,2023-08-22,Treatment,Sai,7.36,2.5,,"Pelleted feed (sinking), DORB"
pond_b3126696,West Godavari,2023-08-22,Control,Sai,16.17,2.5,2 water pump,"Pelleted feed (sinking), DORB"
pond_dda2c111,Nellore,2023-08-11,Treatment,Chandu,3.49,2.0,"2 aerator, 1 water pump",Pelleted feed (floating)
pond_09f0cd92,Nellore,2023-08-11,Treatment,Chandu,6.24,2.0,2 water pump,Pelleted feed (floating)
pond_7fc56232,Nellore,2023-08-11,Treatment,Chandu,4.32,1.5,2 water pump,Pelleted feed (floating)
pond_4cef5872,Nellore,2023-08-09,Treatment,Chandu,2.84,1.5,1 water pump,Pelleted feed (floating)
pond_ba85724b,Nellore,2023-08-09,Treatment,Chandu,2.13,1.5,1 water pump,Pelleted feed (floating)
pond_f569e116,Nellore,2023-08-09,Treatment,Chandu,2.8,1.5,"2 aerator, 1 water pump",Pelleted feed (floating)
pond_51789df8,West Godavari,2023-08-08,Treatment,Sai,5.03,11.0,1 water pump,DORB
pond_c7407a79,West Godavari,2023-08-08,Treatment,Sai,21.64,2.0,"3 aerator, 1 water pump","Pelleted feed (floating), DORB"
pond_1dbb9f8d,Nellore,2023-08-08,Treatment,Chandu,1.75,1.5,2 water pump,Pelleted feed (floating)
pond_bd0e0d33,West Godavari,2023-08-08,Treatment,Sai,4.12,2.5,2 water pump,"Pelleted feed (sinking), DORB"
pond_a434fd56,West Godavari,2023-08-08,Treatment,Sai,0.7,1.5,1 water pump,"Mash, DORB"
pond_2ec8980d,Nellore,2023-08-08,Treatment,Chandu,4.08,1.5,3 water pump,Pelleted feed (floating)
pond_07ed9225,Nellore,2023-08-08,Treatment,Chandu,1.22,2.5,"3 aerator, 2 water pump",Pelleted feed (floating)
pond_ac78f7f3,West Godavari,2023-08-07,Treatment,Sai,16.57,2.0,2 aerator,DORB
pond_5e81f369,West Godavari,2023-08-07,Treatment,Sai,22.52,2.0,"2 aerator, 2 water pump",DORB
pond_da3b5851,Nellore,2023-07-26,Treatment,Chaitanya,1.81,1.5,"2 aerator, 2 water pump",Pelleted feed (floating)
pond_1bf4ea64,Nellore,2023-07-26,Treatment,Chaitanya,1.42,1.5,1 water pump,Mash
pond_a3c9d163,Nellore,2023-07-26,Treatment,Chaitanya,2.32,1.5,2 water pump,Mash
pond_10b0b2f6,Nellore,2023-07-26,Treatment,Chaitanya,1.49,1.5,1 water pump,Mash
pond_d252b4e3,Nellore,2023-07-26,Treatment,Chaitanya,0.66,1.5,4 WATER PUMPS,Mash
pond_ee1be8cb,West Godavari,2022-12-16,Control,Maneesh,49.8,2.5,"3 aerator, 2 water pump, water re circulation boat",Mash
pond_09e8bfb8,West Godavari,2022-12-16,Treatment,Maneesh,2.66,2.0,2 aerator,Mash
pond_e78b9c9a,West Godavari,2022-12-16,Treatment,Maneesh,8.73,2.0,5 aerator,Mash
pond_0c63298a,West Godavari,2022-12-16,Treatment,Maneesh,22.46,2.5,"3 aerator, 2 water pump",Mash
pond_8e6046b4,West Godavari,2022-12-16,Control,Maneesh,46.94,2.5,"3 aerator, 3 water pump",Mash
pond_87edd7c9,West Godavari,2022-12-09,Treatment,Maneesh,19.09,2.0,,Mash
pond_bf58902e,Nellore,2022-12-08,Treatment,Nagaraju B.,3.44,2.0,"6 aerator, 2 water pump",Pelleted feed (floating)
pond_1d249330,Nellore,2022-12-07,Treatment,Nagaraju B.,1.05,2.0,"3 aerator, 2 water pump",Pelleted feed (floating)
pond_11799705,West Godavari,2022-12-06,Treatment,Maneesh,19.63,2.0,1 water pump,Mash
pond_20c3d3aa,West Godavari,2022-12-06,Treatment,Maneesh,8.02,2.0,1 water pump,Mash
pond_eb2903bd,West Godavari,2022-12-06,Treatment,Maneesh,15.03,2.0,1 water pump,Mash
pond_4302964d,West Godavari,2022-12-01,Treatment,Maneesh,1.14,2.0,,Mash
pond_8dd26bbf,West Godavari,2022-09-16,Treatment,Maneesh,27.52,2.5,"3 aerator, 3 water pump",Mash
pond_c8879b29,West Godavari,2022-08-05,Treatment,Maneesh,27.2,2.5,,"Pelleted feed (floating), Mash"
pond_9a0003fb,West Godavari,2022-08-05,Treatment,Maneesh,23.67,1.8,1 water pump,"Pelleted feed (floating), Mash"
pond_da9e5287,Nellore,2022-06-07,Treatment,Chandu,0.9,1.5,"1 aerator, 1 water pump",Pelleted feed (floating)
pond_917e0459,West Godavari,2022-06-04,Treatment,Maneesh,13.2,3.0,3 aerator,"Pelleted feed (floating), Mash"
pond_863e7ed4,Nellore,2022-04-27,Treatment,Chandu,2.36,1.5,"2 aerator, 2 water pump","Pelleted feed (sinking), Mash"
pond_aabd8703,Nellore,2022-03-29,Treatment,Chandu,3.15,1.5,"3 aerator, 2 water pump",Pelleted feed (floating)
pond_a2a9984f,Nellore,2022-03-29,Treatment,Chandu,3.53,1.5,"2 water pump, 5 Aerators","Pelleted feed (floating), DORB"
pond_0b972252,Nellore,2022-03-28,Treatment,Chandu,21.48,2.0,,Pelleted feed (sinking)
pond_9719af6d,Nellore,2022-03-28,Treatment,Chandu,27.83,2.0,"3 aerator, 8 Aerators and 10 Water Pumps",DORB
pond_19e0e052,Nellore,2022-03-28,Control,Chandu,17.33,2.0,4 Water Pumps,Pelleted feed (floating)
pond_680c8104,West Godavari,2022-03-16,Treatment,Maneesh,41.09,2.5,,Mash
pond_ddf602a6,West Godavari,2022-02-15,Treatment,Maneesh,6.12,3.5,2 aerator,Mash
pond_960111d3,West Godavari,2022-02-15,Treatment,Maneesh,9.97,2.5,"3 aerator, 2 water pump, Water quality monitoring device, Soil quality monitoring device",Mash
pond_ec1ee982,Nellore,2022-01-31,Treatment,Chandu,0.75,1.5,"3 aerator, 2 water pump",Pelleted feed (floating)
pond_95fa2b00,Nellore,2021-12-23,Treatment,Chaitanya,0.72,1.0,1 water pump,He Mixes cow dung & rice husk prepare his own feed and give to the fish
pond_1c1e7d4b,Nellore,2021-12-22,Treatment,Chaitanya,2.22,1.0,"2 aerator, 3 water pump","Pelleted feed (floating), Mash"
pond_edb67ba0,Nellore,2021-12-22,Treatment,Chaitanya,0.85,1.0,1 water pump,"Pelleted feed (floating), Mash"
pond_bd0f4fd7,Nellore,2021-12-22,Treatment,Chaitanya,0.7,1.5,"1 aerator, 2 water pump",Pelleted feed (floating)
pond_1d648007,Nellore,2021-11-27,Treatment,Chandu,0.88,1.5,"2 aerator, 2 water pump","Pelleted feed (floating), Pelleted feed (sinking), Mash"
pond_0b18540f,West Godavari,2021-11-17,Treatment,Maneesh,15.52,2.0,,Mash
pond_7fd480e0,West Godavari,2021-11-17,Control,Maneesh,10.81,2.0,,Mash
pond_5f9e292b,West Godavari,2021-11-16,Control,Maneesh,29.32,2.5,,Mash
pond_891bf2fe,Nellore,2021-09-28,Treatment,Fiverr,0.72,1.9,"3 aerator, 1 water pump","Pelleted feed (sinking), DORB"
pond_299152dc,Nellore,2021-09-28,Treatment,Fiverr,0.66,1.9,"1 aerator, 1 water pump","Pelleted feed (sinking), DORB"
pond_b842374c,Nellore,2021-09-28,Treatment,Fiverr,2.31,1.9,"2 aerator, 3 water pump","Pelleted feed (sinking), DORB"
pond_04e640c0,Nellore,2021-09-28,Treatment,Fiverr,,1.5,2 water pump,DORB
pond_c30c0534,Nellore,2021-09-28,Treatment,Fiverr,1.5,1.5,1 water pump,DORB
pond_2e1713ae,Nellore,2021-06-29,Treatment,Fiverr,5.1,2.5,"2 aerator, 2 water pump","Pelleted feed (floating), DORB, Rice husk"
pond_d01750af,Nellore,2021-06-26,Treatment,Fiverr,4.56,2.5,"4 water pumps, NO aerators","Pelleted feed (floating), DORB, Rice husk"
pond_cf53cb6f,Nellore,2021-06-23,Treatment,Fiverr,4.11,2.0,"3 aerator, 3 water pump","Pelleted feed (floating), Mash, Rice husk"
pond_c0b647c8,Nellore,2021-06-23,Treatment,Fiverr,3.7,2.5,"2 aerator, 1 water pump","Pelleted feed (floating), DORB"
pond_43720001,Nellore,2021-06-22,Treatment,Fiverr,1.0,1.5,"1 aerator, 1 water pump","DORB, Rice husk"
pond_2f7733e2,Nellore,2021-06-22,Treatment,Fiverr,1.0,1.5,"2 aerator, 1 water pump","DORB, Rice husk"
pond_373669d6,Nellore,2021-06-21,Treatment,Fiverr,1.65,3.5,"1 aerator, 2 water pump","Pelleted feed (floating), Mash"
pond_da579dd5,Nellore,2021-06-19,Treatment,Fiverr,1.3,2.5,"3 aerator, 2 water pump",DORB
pond_9af26ee3,Nellore,2021-06-04,Treatment,Fiverr,2.36,3.5,"3 aerator, 2 water pump",Rice husk Mash
