pond_id,region,date,measurement_type,time,group,pond_type,staff_member,equipment,is_follow_up,dissolved_oxygen_mg_l,ph,ammonia_tan_mg_l,ammonia_nh3_mg_l,ammonia_tan_as_nh3_mg_l,turbidity_cm,temperature_c,water_color,tds_ppt,weather,is_in_range,parameters_out_of_range,corrective_action_requested,corrective_action_implemented,corrective_action_effective
pond_35f0d376,West Godavari,2026-01-06,Evening,15:40,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.7,8.38,,,,,26.5,Dark green,,Sunny,True,,,,
pond_fb9877ae,West Godavari,2026-01-06,Morning,08:19,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.2,8.14,,0.0,0.0,,24.3,Dark green,,Sunny,True,,,,
pond_319c1ff7,West Godavari,2026-01-06,Morning,08:05,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.4,8.21,,0.04,0.5,,24.1,Dark green,,Sunny,True,,,,
pond_56e8a695,West Godavari,2026-01-06,Morning,07:52,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.2,8.35,,0.03,0.25,,24.4,Dark green,,Sunny,True,,,,
pond_35f0d376,West Godavari,2026-01-06,Morning,07:45,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.5,8.22,,0.04,0.5,,24.2,Dark green,,Sunny,True,,,,
pond_69509b5b,West Godavari,2026-01-05,Evening,16:05,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,9.5,8.28,,,,,27.8,Dark green,,Sunny,True,,,,
pond_5e81f369,West Godavari,2026-01-05,Evening,15:53,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,9.8,8.46,,,,,27.2,Dark green,,Sunny,True,,,,
pond_6a5ab9d0,West Godavari,2026-01-05,Evening,15:50,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.0,8.41,,,,,26.7,Dark green,,Sunny,True,,,,
pond_ac78f7f3,West Godavari,2026-01-05,Evening,15:46,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,10.4,8.41,,,,,26.4,Dark green,,Sunny,True,,,,
pond_bd0f4fd7,Nellore,2026-01-05,Evening,15:44,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",True,8.5,8.31,,,,,31.6,Light brown,,"Sunny, Cloud cover 50%",True,,,,
pond_2855b437,West Godavari,2026-01-05,Evening,15:43,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.6,8.49,,,,,26.8,Saturated green,,Sunny,True,,,,
pond_95fa2b00,Nellore,2026-01-05,Evening,15:40,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",True,8.2,8.13,,,,,31.9,Light brown,,"Sunny, Cloud cover 50%",True,,,,
pond_c5b49325,West Godavari,2026-01-05,Evening,15:40,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,9.6,8.35,,,,,25.7,Saturated green,,Sunny,True,,,,
pond_b9aedd06,West Godavari,2026-01-05,Evening,15:40,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.5,8.46,,,,,26.9,Saturated green,,Sunny,True,,,,
pond_51789df8,West Godavari,2026-01-05,Evening,15:36,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,10.1,9.19,,,,,26.9,Dark green,,Sunny,False,Ph,Requested during morning measurement,,
