pond_id,region,event_date,event_type,logged_by,lifecycle_stage,species,species_ratio,target_weight_grams,average_weight_grams,intended_stocking_density_per_acre,actual_stocking_density_per_acre,fish_harvested_kg,fish_remaining_individuals,harvest_reason,pond_preparation_done
pond_c7407a79,West Godavari,2025-12-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,254.0,2773,2773.0,,,,False
pond_a2a9984f,Nellore,2025-12-16,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,940.0,,,9450,0,Planned harvest,
pond_cc57546e,West Godavari,2025-12-16,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,253.0,2635,2635.0,,,,False
pond_c2458988,West Godavari,2025-12-16,Partial harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,250.0,,,,91000,Planned harvest,
pond_f569e116,Nellore,2025-12-15,Harvest,Chaitanya,Grow-out,Roopchand,,,820.0,,,7000,0,Planned harvest,
pond_c7407a79,West Godavari,2025-12-15,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,88000,0,Planned harvest,
pond_2781ed8d,West Godavari,2025-12-14,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,40.0,11818,11818.0,,,,False
pond_b6292420,West Godavari,2025-12-14,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,40.0,14286,14286.0,,,,False
pond_304a9d41,West Godavari,2025-12-14,Stocking,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,50.0,10.0,71429,71429.0,,,,True
pond_f1f0953d,West Godavari,2025-12-14,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,300.0,2268,2268.0,,,,False
pond_f6d09111,West Godavari,2025-12-13,Partial harvest,Chaitanya,Nursery,"Rohu (Labeo rohita), Catla (Catla catla)",,,40.0,,,,29000,Planned harvest,
pond_60dd3196,West Godavari,2025-12-13,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,40.0,15068,15068.0,,,,False
pond_eb2903bd,West Godavari,2025-12-13,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,350.0,2927,2927.0,,,,False
pond_da9e5287,Nellore,2025-12-12,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,700.0,,,1695,0,Planned harvest,
pond_d7feb952,West Godavari,2025-12-12,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,50.0,10476,10476.0,,,,False
pond_56e8a695,West Godavari,2025-12-12,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,157.0,2052,2052.0,,,,False
pond_cc547e32,West Godavari,2025-12-12,Harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,0,Planned harvest,
pond_80e22f42,West Godavari,2025-12-12,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,206.0,2963,2963.0,,,,False
pond_4e07e1a3,West Godavari,2025-12-12,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,259.0,2516,2516.0,,,,False
pond_a32076ad,West Godavari,2025-12-11,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,60.0,13208,13208.0,,,,False
pond_aae69640,Nellore,2025-12-10,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,960.0,,,12490,0,Planned harvest,
pond_60e4cad8,West Godavari,2025-12-10,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,0,Planned harvest,
pond_7fc56232,Nellore,2025-12-06,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,980.0,,,13720,0,Planned harvest,
pond_1d648007,Nellore,2025-12-05,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,100.0,2386,2386.0,,,,False
pond_08867f11,West Godavari,2025-12-04,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1300.0,,,105000,0,Planned harvest,
pond_cc57546e,West Godavari,2025-12-03,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1400.0,,,55000,0,Planned harvest,
pond_80e22f42,West Godavari,2025-12-03,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1300.0,,,90000,0,Planned harvest,
pond_eb2903bd,West Godavari,2025-12-02,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1300.0,,,54000,0,Planned harvest,
pond_b842374c,Nellore,2025-12-02,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,960.0,,,4800,0,Planned harvest,
pond_727e3097,West Godavari,2025-12-01,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,60.0,12791,12791.0,,,,False
pond_5f07dc7a,West Godavari,2025-12-01,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,250.0,,,,0,Planned harvest,
pond_9644548f,West Godavari,2025-12-01,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,900.0,,,50000,0,,
pond_56e8a695,West Godavari,2025-11-30,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1800.0,,,104000,0,Planned harvest,
pond_bd0e0d33,West Godavari,2025-11-30,Stocking,Chaitanya,Nursery,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,80.0,5.0,121359,121359.0,,,,True
pond_f1f0953d,West Godavari,2025-11-29,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1300.0,,,130000,0,Planned harvest,
pond_373669d6,Nellore,2025-11-27,Stocking,Chaitanya,Grow-out,Rohu (Labeo rohita),9:1,1500.0,200.0,848,848.0,,,,False
pond_3da22c74,West Godavari,2025-11-25,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,0,Planned harvest,
pond_2ec8980d,Nellore,2025-11-22,Harvest,Chaitanya,Grow-out,Roopchand,,,930.0,,,9300,0,Planned harvest,
pond_87edd7c9,West Godavari,2025-11-22,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,263.0,2304,2304.0,,,,True
pond_a0b42194,West Godavari,2025-11-22,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,30.0,11538,11538.0,,,,False
pond_1dbb9f8d,Nellore,2025-11-21,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,760.0,,,3800,0,Planned harvest,
pond_46bbdb3a,West Godavari,2025-11-21,Partial harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,10000,Planned harvest,
pond_522cd38a,West Godavari,2025-11-20,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,6316,6316.0,,,,False
pond_727e3097,West Godavari,2025-11-19,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1100.0,,,18000,0,Planned harvest,
pond_304a9d41,West Godavari,2025-11-19,Harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,150.0,,,,0,Planned harvest,
pond_aabd8703,Nellore,2025-11-18,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,8400,0,Planned harvest,
pond_0b0963e5,West Godavari,2025-11-18,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,5357,5357.0,,,,False
pond_369dc183,West Godavari,2025-11-16,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,850.0,,,43000,0,,
pond_ba85724b,Nellore,2025-11-16,Stocking,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,20.0,23474,23474.0,,,,True
pond_0b972252,Nellore,2025-11-16,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,78000,0,Planned harvest,
pond_07ed9225,Nellore,2025-11-15,Harvest,Chaitanya,Grow-out,Roopchand,,,650.0,,,2390,0,Planned harvest,
pond_7ef7fef9,West Godavari,2025-11-14,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,300.0,,,,0,,
pond_bed02137,West Godavari,2025-11-14,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,50.0,,,,0,,
pond_bf58902e,Nellore,2025-11-13,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,970.0,,,11670,0,Planned harvest,
pond_d7feb952,West Godavari,2025-11-12,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,250.0,,,,0,Planned harvest,
pond_60dd3196,West Godavari,2025-11-12,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,250.0,,,,0,Planned harvest,
pond_8902ecd3,West Godavari,2025-11-12,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,260.0,2500,2500.0,,,,False
pond_41a4dead,West Godavari,2025-11-12,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,259.0,2398,2398.0,,,,False
pond_9a0003fb,West Godavari,2025-11-12,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,312.0,2704,2704.0,,,,False
pond_4e07e1a3,West Godavari,2025-11-08,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1500.0,,,120000,0,Planned harvest,
pond_4302964d,West Godavari,2025-11-08,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,35089,35089.0,,,,False
pond_10b0b2f6,Nellore,2025-11-07,Stocking,Chaitanya,Grow-out,Roopchand,10,800.0,50.0,3356,3356.0,,,,True
pond_1bf4ea64,Nellore,2025-11-07,Stocking,Chaitanya,Grow-out,Roopchand,10,800.0,50.0,3521,3521.0,,,,True
pond_1c1e7d4b,Nellore,2025-11-07,Stocking,Chaitanya,Grow-out,Roopchand,10,800.0,100.0,3378,3378.0,,,,False
pond_9719af6d,Nellore,2025-11-07,Harvest,Chaitanya,Grow-out,Roopchand,,,1200.0,,,58200,0,Planned harvest,
pond_dc98e449,West Godavari,2025-11-06,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,50000,0,Planned harvest,
pond_7472ede8,West Godavari,2025-11-06,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,300.0,,,,0,Planned harvest,
pond_aef38b14,Nellore,2025-11-05,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,970.0,,,17550,0,Planned harvest,
pond_0b0963e5,West Godavari,2025-11-05,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,0,Planned harvest,
pond_41a4dead,West Godavari,2025-11-05,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,85000,0,Planned harvest,
pond_dda2c111,Nellore,2025-11-04,Harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,60.0,,,,0,Planned harvest,
pond_55356fc9,West Godavari,2025-11-04,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,105.0,2358,2358.0,,,,False
pond_2f7733e2,Nellore,2025-11-03,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,2200.0,2200,2200.0,,,,True
pond_43720001,Nellore,2025-11-03,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,250.0,2200,2200.0,,,,True
pond_251e0d5b,West Godavari,2025-11-03,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1100.0,,,55000,0,Planned harvest,
pond_a3c9d163,Nellore,2025-11-02,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,800.0,150.0,3233,3233.0,,,,True
pond_cf53cb6f,Nellore,2025-11-02,Harvest,Chaitanya,Grow-out,Roopchand,,,860.0,,,10320,0,Planned harvest,
pond_9a0003fb,West Godavari,2025-11-02,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1055.0,,,60000,0,Planned harvest,
pond_4a880fc8,West Godavari,2025-11-01,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,350.0,2281,2281.0,,,,False
pond_319c1ff7,West Godavari,2025-10-30,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,207.0,1733,1733.0,,,,False
pond_2e1713ae,Nellore,2025-10-29,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,750.0,250.0,3529,3529.0,,,,True
pond_8902ecd3,West Godavari,2025-10-28,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,66000,0,Planned harvest,
pond_c2dd8e7c,West Godavari,2025-10-28,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1100.0,,,90000,0,Planned harvest,
pond_299152dc,Nellore,2025-10-27,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,850.0,,,1870,0,Planned harvest,
pond_1d648007,Nellore,2025-10-27,Harvest,Chaitanya,Grow-out,Roopchand,,,900.0,,,2250,0,Planned harvest,
pond_a6578b7f,West Godavari,2025-10-24,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,350.0,2226,2226.0,,,,False
pond_89aabef8,West Godavari,2025-10-22,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,40.0,5842,5842.0,,,,False
pond_55356fc9,West Godavari,2025-10-22,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1300.0,,,52000,0,Planned harvest,
pond_4fc9a5af,Nellore,2025-10-20,Harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,50.0,,,,0,Planned harvest,
pond_69509b5b,West Godavari,2025-10-20,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,30.0,9000,9000.0,,,,False
pond_c8879b29,West Godavari,2025-10-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,300.0,2426,2426.0,,,,False
pond_6772b310,West Godavari,2025-10-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,107.0,3000,3000.0,,,,False
pond_aae02d77,West Godavari,2025-10-20,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,350.0,50.0,5625,5625.0,,,,False
pond_89aabef8,West Godavari,2025-10-18,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,300.0,,,,0,Planned harvest,
pond_b3126696,West Godavari,2025-10-18,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,313.0,2721,2721.0,,,,False
pond_ac7bb683,West Godavari,2025-10-18,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,400.0,150.0,5814,5814.0,,,,False
pond_b36b9eee,West Godavari,2025-10-17,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,96000,0,Planned harvest,
pond_d01750af,Nellore,2025-10-15,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,950.0,,,13400,0,Planned harvest,
pond_319c1ff7,West Godavari,2025-10-15,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1600.0,,,45000`,0,Planned harvest,
pond_a32076ad,West Godavari,2025-10-12,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,250.0,,,,0,Planned harvest,
pond_11799705,West Godavari,2025-10-11,Partial harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,40000,20000,Planned harvest,
pond_b3126696,West Godavari,2025-10-11,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1380.0,,,64000,0,Planned harvest,
pond_2781ed8d,West Godavari,2025-10-10,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,0,Planned harvest,
pond_b6292420,West Godavari,2025-10-10,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,200.0,,,,0,Planned harvest,
pond_69509b5b,West Godavari,2025-10-10,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,400.0,,,,,Planned harvest,
pond_a80e42b6,West Godavari,2025-10-08,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,9153,9153.0,,,,False
pond_4a880fc8,West Godavari,2025-10-08,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1300.0,,,78000,0,Planned harvest,
pond_0a3f9f76,West Godavari,2025-10-07,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,150.0,2357,2357.0,,,,False
pond_c8879b29,West Godavari,2025-10-06,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1050.0,,,70000,6000,Planned harvest,
pond_ac7bb683,West Godavari,2025-10-02,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,600.0,,,,0,Planned harvest,
pond_3a0067e4,West Godavari,2025-10-01,Stocking,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,10.0,63158,63158.0,,,,False
pond_7fd480e0,West Godavari,2025-10-01,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,150.0,2546,2546.0,,,,True
pond_05d9df8f,West Godavari,2025-09-28,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,30.0,7368,7368.0,,,,False
pond_bdf8fe72,West Godavari,2025-09-25,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,7576,7576.0,,,,False
pond_ba85724b,Nellore,2025-09-22,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,900.0,,,3340,0,Planned harvest,
pond_2781ed8d,West Godavari,2025-09-22,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,50.0,11818,11818.0,,,,False
pond_05edabe9,West Godavari,2025-09-22,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,40000,0,Planned harvest,
pond_6772b310,West Godavari,2025-09-22,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1363.0,,,30000,0,Planned harvest,
pond_5aaa5b01,West Godavari,2025-09-20,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,66000,0,Planned harvest,
pond_868241e3,West Godavari,2025-09-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,200.0,2240,2240.0,,,,True
pond_e25b2cfc,West Godavari,2025-09-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,106.0,2740,2740.0,,,,False
pond_e797c43a,West Godavari,2025-09-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,106.0,2963,2963.0,,,,False
pond_439eae87,West Godavari,2025-09-20,Partial harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,269.0,,,,31500,Planned harvest,
pond_16becad9,West Godavari,2025-09-20,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,269.0,2407,2407.0,,,,False
pond_5557d8af,West Godavari,2025-09-19,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,950.0,,,41000,0,Planned harvest,
pond_d8d30ad3,West Godavari,2025-09-19,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,209.0,2129,2129.0,,,,False
pond_b08d22b5,West Godavari,2025-09-18,Harvest,Chaitanya,Nursery,"Rohu (Labeo rohita), Catla (Catla catla)",,,150.0,,,,0,Planned harvest,
pond_a72a9ad7,West Godavari,2025-09-18,Stocking,Chaitanya,Nursery,Rohu (Labeo rohita),9:1,50.0,10.0,70175,70175.0,,,,False
pond_7dded911,West Godavari,2025-09-17,Harvest,Chaitanya,Rearing,Catla (Catla catla),,,200.0,,,,0,Planned harvest,
pond_aae02d77,West Godavari,2025-09-15,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,400.0,,,,0,Planned harvest,
pond_fc8ef4d2,West Godavari,2025-09-15,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,30.0,6667,6667.0,,,,False
pond_bed02137,West Godavari,2025-09-15,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,30.0,7407,7407.0,,,,True
pond_bd0e0d33,West Godavari,2025-09-10,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,700.0,,,30000,0,,
pond_a434fd56,West Godavari,2025-09-10,Harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,300.0,,,,0,Planned harvest,
pond_c2458988,West Godavari,2025-09-10,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,50.0,7514,7514.0,,,,True
pond_cf980f71,West Godavari,2025-09-08,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,350.0,2588,2588.0,,,,False
pond_5f9e292b,West Godavari,2025-09-08,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,300.0,2729,2729.0,,,,False
pond_a6578b7f,West Godavari,2025-09-06,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,84000,0,Planned harvest,
pond_e25b2cfc,West Godavari,2025-09-05,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,36000,0,Planned harvest,
pond_3a0067e4,West Godavari,2025-09-05,Harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,100.0,,,,0,Planned harvest,
pond_f18f1d57,Nellore,2025-09-04,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,100.0,2631,2631.0,,,,True
pond_0a3f9f76,West Godavari,2025-09-04,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,60000,0,Planned harvest,
pond_b3ee7ac9,West Godavari,2025-08-31,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1000.0,,,50000,0,Planned harvest,
pond_5f9e292b,West Godavari,2025-08-29,Harvest,Chaitanya,Grow-out,"Catla (Catla catla), Rohu (Labeo rohita)",,,1300.0,,,100000,0,Planned harvest,
pond_da579dd5,Nellore,2025-08-29,Stocking,Chaitanya,Grow-out,Rohu (Labeo rohita),10,1000.0,250.0,1154,1154.0,,,,True
